model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
opus-4.8-thinking,free-form,codegen,Letters to the Quiet Hour,D,minor,1.396,,,minor,,0.9834,2.7557,4.6549,,0.4348,0.8745,1.55,0.947,3.4226,4,3,7.94,63.3,44,0.0,1.0,21.813,0.5,1.5654,35.0,63.0,120.0,305,42.0,3.63,-1,0.745,angry/tense
sonnet-4.6,free-form,codegen,Liminal,E,minor,0.965,,,minor,,0.9912,2.8056,4.333,,0.4706,0.6967,1.733,0.8976,2.7873,2,1,1.04,54.7,53,0.0,0.9999,15.107,1.3,1.9338,25.0,50.0,120.0,89,40.0,1.11,-1,0.493,sad/depressed
deepseek-v4-pro,free-form,codegen,Whispers of Evening,E,minor,1.339,,,minor,,0.9497,2.8969,4.4746,,0.6037,0.8078,1.741,0.9814,2.1071,2,1,1.04,51.7,36,0.0,1.0,14.404,0.5,1.0226,31.0,52.0,120.0,296,56.0,2.64,-1,0.646,angry/tense
gpt-4.1,free-form,codegen,Wanderer’s Reflection,E,minor,1.318,,,minor,,0.9783,2.7303,4.1,,0.6296,0.775,1.2,0.8508,2.9167,2,1,1.04,68.6,18,0.0,1.0,17.022,0.9167,1.4331,20.0,47.0,120.0,36,12.0,1.5,-1,0.532,angry/tense
gpt-5.5,free-form,codegen,Latency Bloom,E,minor,0.921,,,minor,,0.9806,2.8232,4.7562,,0.6402,0.8851,2.348,0.975,3.6719,4,3,6.86,84.1,76,0.0,1.0,20.418,0.5,1.2953,35.0,55.0,120.0,396,48.0,4.12,-1,0.782,angry/tense
grok-4.3,free-form,codegen,Veiled Emotions,E,minor,1.239,,,minor,,1.0,2.395,3.5073,,0.6333,0.8083,0.0,1.0,4.0,2,1,1.04,90.0,0,0.0,1.0,11.782,1.0,0.5722,13.0,32.0,120.0,106,30.0,1.77,-1,0.558,angry/tense
gemini-2.5-pro,free-form,codegen,Emergence,C,minor,1.443,,,minor,,0.9208,2.7805,4.2716,,0.64,0.9304,2.821,0.9298,2.807,3,2,4.69,87.7,9,0.1946,1.0,6.78,3.2273,0.8298,24.0,36.0,120.0,70,80.0,0.44,-1,0.426,sad/depressed
qwen3-max,free-form,codegen,Circuit of Thought,C,minor,1.087,,,minor,,0.9836,2.7319,4.3654,,0.7241,0.8058,1.714,0.8831,3.8145,2,1,1.04,90.0,0,0.0,1.0,12.833,1.1667,1.0942,25.0,41.0,120.0,37,16.0,1.16,-1,0.497,sad/depressed
sonnet-4.6-thinking,free-form,codegen,Dusk Walk,E,minor,1.224,,,minor,,0.9551,2.8309,4.4844,,0.6667,0.8584,1.839,0.9645,2.2396,2,1,1.04,93.6,45,0.0,1.0,20.401,0.93,1.1396,30.0,45.0,120.0,167,48.0,1.74,-1,0.556,angry/tense
llama-4-maverick,free-form,codegen,Reflection,C,major,0.922,,,major,,1.0,1.75,2.5,,0.75,0.875,0.0,1.0,2.0,2,1,1.04,90.0,0,0.0,1.0,22.745,1.0,0.0,6.0,28.0,120.0,240,120.0,1.0,1,0.482,serene/content
opus-4.8,free-form,codegen,Threshold,D,minor,1.48,,,minor,,0.9889,2.7594,4.6043,,0.7551,0.867,1.941,0.9052,2.9444,2,1,1.04,52.6,102,0.0,1.0,18.011,0.7216,1.4261,31.0,56.0,120.0,147,36.0,2.04,-1,0.586,angry/tense
opus-4.8-thinking,free-form,codegen,Toward the Light,D,minor,1.361,,,minor,,0.8545,3.0847,4.745,,0.6683,0.9454,2.586,0.9589,3.375,3,2,4.69,50.8,22,0.0,1.0,13.984,0.5773,1.3164,33.0,47.0,120.0,327,60.0,2.73,-1,0.654,angry/tense
sonnet-4.6,free-form,codegen,Liminal,E,minor,1.217,,,minor,,0.993,2.786,4.5681,,0.5714,0.7318,1.867,0.9177,2.3692,2,1,1.04,35.0,36,0.0,1.0,17.796,0.747,1.4814,29.0,46.0,120.0,131,33.0,1.98,-1,0.58,angry/tense
gpt-4.1,free-form,codegen,Distant Light,E,minor,1.127,,,minor,,1.0,2.702,4.2107,,0.5913,0.7465,2.258,0.9555,2.6358,2,1,1.04,65.8,91,0.0,1.0,13.947,0.9484,0.7601,24.0,41.0,120.0,237,75.5,1.57,-1,0.539,angry/tense
gpt-5.5,free-form,codegen,A Lantern Inside the Machine,A,minor,1.092,,,minor,,0.962,2.9008,4.6811,,0.1298,0.7488,2.065,0.9804,4.0195,4,3,7.55,57.0,88,0.0,1.0,15.158,0.599,1.4778,36.0,55.0,120.0,454,64.0,3.55,-1,0.737,angry/tense
grok-4.3,free-form,codegen,Echoes of Solitude,A,minor,1.608,,,minor,,1.0,2.5765,3.7129,,0.5556,0.7892,2.111,1.0,3.2105,2,1,1.04,89.1,0,0.0,0.9999,11.078,1.3962,1.2017,15.0,31.0,120.0,83,38.0,1.09,-1,0.491,sad/depressed
gemini-2.5-pro,free-form,codegen,Emergence,C,minor,1.471,,,minor,,0.8602,2.9796,4.3597,,0.4147,0.6146,2.65,0.9735,3.2774,2,1,1.04,91.4,48,0.0,1.0,11.255,0.472,0.4076,30.0,40.0,120.0,625,82.0,3.81,-1,0.763,angry/tense
deepseek-v4-pro,free-form,codegen,Fading Light,E,minor,1.143,,,minor,,0.9643,2.9539,4.414,,0.3016,0.798,2.125,0.9151,4.8676,2,1,1.04,33.7,57,0.0,0.9999,7.281,1.1429,1.3546,26.0,36.0,120.0,85,34.0,1.25,-1,0.507,angry/tense
qwen3-max,free-form,codegen,Digital Soliloquy,A,minor,1.32,,,minor,,0.8346,3.2761,4.3941,,0.8974,0.5391,1.5,0.9582,3.0354,1,1,1.04,72.5,72,0.0,0.9999,4.722,1.2333,0.8408,27.0,29.0,120.0,47,30.0,0.78,-1,0.46,sad/depressed
llama-4-maverick,free-form,codegen,Self-Expression,F,major,0.743,,,major,,1.0,1.7718,1.7718,,,0.9375,0.467,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.302,1.0,0.0,4.0,7.0,120.0,64,32.0,1.0,1,0.482,serene/content
opus-4.8,free-form,codegen,Threshold,D,minor,1.31,,,minor,,0.9598,2.8325,4.3347,,0.3404,0.8402,1.593,0.974,3.0312,3,2,4.69,65.5,38,0.0,1.0,11.543,0.582,1.4163,27.0,42.0,120.0,309,56.0,2.76,-1,0.658,angry/tense
opus-4.8-thinking,free-form,codegen,Toward the Light,D,minor,1.258,,,minor,,0.859,3.0619,4.7049,,0.7917,0.9417,2.348,0.9734,3.974,4,3,7.94,52.1,28,0.0,1.0,12.032,0.6643,1.4157,35.0,53.0,120.0,288,48.0,3.0,-1,0.682,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of the Digital Dawn,E,minor,1.354,,,minor,,0.9474,2.6939,3.9889,,0.5,0.8692,2.0,0.8615,4.8154,3,2,2.28,25.7,52,0.0,0.9999,11.286,1.1111,1.1412,19.0,40.0,120.0,43,16.2,1.32,-1,0.514,angry/tense
sonnet-4.6-thinking,free-form,codegen,Dusk Reflection,D,minor,1.23,,,minor,,0.9813,2.8519,4.3886,,0.6022,0.8128,2.13,0.9446,2.0417,2,1,1.04,88.7,63,0.0,1.0,14.566,0.5081,1.0518,26.0,41.0,120.0,266,48.0,2.77,-1,0.659,angry/tense
gpt-4.1,free-form,codegen,Shifting Light,A,minor,1.23,,,minor,,0.9658,2.7733,4.1158,,0.6491,0.9477,2.522,0.9359,1.753,2,1,1.04,75.7,54,0.0515,1.0,15.198,1.2368,1.3325,23.0,41.0,120.0,109,48.0,1.14,-1,0.495,sad/depressed
gpt-5.5,free-form,codegen,Between Signal and Breath,E,minor,1.423,,,minor,,0.9688,2.861,5.2208,,0.1176,0.7771,2.211,0.9599,5.4813,5,4,10.8,48.5,41,0.0,1.0,14.74,0.5,1.5148,47.0,72.0,120.0,374,40.0,4.67,-1,0.782,angry/tense
grok-4.3,free-form,codegen,Echoes of Solitude,A,minor,0.952,,,minor,,1.0,2.7335,3.625,,0.75,0.875,2.6,1.0,2.0,2,1,1.04,90.0,0,0.0,1.0,18.825,2.0,0.0,13.0,33.0,120.0,64,32.0,1.0,-1,0.482,sad/depressed
sonnet-4.6,free-form,codegen,Thresholds,A,minor,0.921,,,minor,,1.0,2.7747,4.3796,,0.1926,0.7143,1.447,0.9845,3.7158,4,3,11.02,55.7,47,0.0155,0.9999,10.191,1.4646,1.6037,24.0,43.0,60.0,400,192.0,2.08,-1,0.263,sad/depressed
qwen3-max,free-form,codegen,Binary Rain,G,major,0.874,,,major,,0.9701,2.8155,3.639,,0.7037,0.8453,1.5,0.9946,1.9412,2,2,6.99,44.6,22,0.0,1.0,19.609,0.6667,0.7966,15.0,36.0,120.0,146,34.0,2.15,1,0.597,happy/excited
gemini-2.5-pro,free-form,codegen,Echoes of a Digital Ghost,C,minor,0.818,,,minor,,0.9612,2.6757,4.1329,,0.4906,0.8786,2.2,0.9266,2.1951,2,1,1.04,69.8,36,0.0118,1.0,14.843,1.194,1.362,26.0,48.0,120.0,94,42.0,1.12,-1,0.494,sad/depressed
llama-4-maverick,free-form,codegen,Simple Piano Piece,A,minor,0.659,,,minor,,1.0,1.5,1.5,,,1.0,0.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.017,1.0,0.0,3.0,4.0,120.0,120,60.0,1.0,-1,0.482,sad/depressed
opus-4.8,free-form,codegen,Two Things at Once,E,minor,1.217,,,minor,,0.9533,2.7802,4.2558,,0.4889,0.9221,2.154,0.9432,3.5357,3,2,4.69,90.0,0,0.0,1.0,15.302,1.1818,1.4637,24.0,45.0,120.0,92,28.0,1.64,-1,0.546,angry/tense
opus-4.8-thinking,free-form,codegen,Emergence,D,minor,1.006,,,minor,,0.8966,3.1104,4.9118,,0.9585,0.9901,1.935,0.9792,3.6719,4,3,7.94,60.7,36,0.0,1.0,17.839,0.6458,1.8007,41.0,58.0,120.0,345,64.0,2.7,-1,0.651,angry/tense
sonnet-4.6,free-form,codegen,Liminal,D,minor,1.005,,,minor,,0.9741,2.8977,4.1354,,0.375,0.7309,1.6,0.912,4.4453,3,2,4.29,47.5,51,0.0,1.0,11.51,1.0909,1.3056,28.0,43.0,120.0,128,32.0,2.0,-1,0.582,angry/tense
deepseek-v4-pro,free-form,codegen,Raindrops on Leaves,E-,major,0.963,,,major,,1.0,2.524,3.8849,,0.5814,0.9184,2.133,0.9589,3.4375,3,2,4.69,54.6,26,0.0,1.0,10.493,1.6216,1.6276,17.0,31.0,120.0,69,32.0,1.08,1,0.49,serene/content
gpt-5.5,free-form,codegen,Between Tokens and Breath,E,minor,1.249,,,minor,,0.9189,3.0446,4.9987,,0.4703,0.8949,2.087,0.9431,4.5885,4,3,6.86,56.8,52,0.0,1.0,11.535,0.5,1.4258,45.0,58.0,120.0,377,48.0,3.93,-1,0.775,angry/tense
grok-4.3,free-form,codegen,Introspective Flow,A,minor,1.15,,,minor,,1.0,2.2359,2.8074,,1.0,0.8571,1.0,1.0,2.0,1,1,1.04,90.0,0,0.0,0.9999,6.609,1.6122,0.8398,7.0,24.0,120.0,50,40.0,0.62,-1,0.444,sad/depressed
gemini-2.5-pro,free-form,codegen,Ghost in the Code,C,minor,1.136,,,minor,,0.9495,2.4908,3.8408,,0.7057,0.9044,1.633,0.9501,1.7661,2,1,1.04,88.7,9,0.0,1.0,13.365,0.25,0.7342,33.0,54.0,120.0,552,64.0,4.31,-1,0.782,angry/tense
qwen3-max,free-form,codegen,Digital Soliloquy,C,major,0.945,,,major,,1.0,2.4677,3.3788,,0.8,0.9474,1.0,1.0,3.5,2,2,2.28,76.3,18,0.0,1.0,6.018,0.9516,0.8351,11.0,29.0,120.0,40,16.0,1.25,1,0.507,happy/excited
gpt-4.1,free-form,codegen,After the Quiet Morning,E,minor,1.049,,,minor,,1.0,2.5286,3.7726,,0.5538,0.9205,1.333,0.9132,2.3538,2,1,1.04,44.8,0,0.0,1.0,22.2,0.9265,1.4223,20.0,43.0,120.0,96,32.5,1.48,-1,0.53,angry/tense
llama-4-maverick,free-form,codegen,Ethereal Reflections,F,major,1.078,,,major,,1.0,1.5219,1.5219,,1.0,1.0,1.0,1.0,1.5,2,2,3.2,90.0,0,0.7091,0.9999,4.158,3.5667,0.5699,3.0,9.0,120.0,20,30.5,0.33,1,0.415,serene/content
deepseek-v4-pro,free-form,codegen,Algorithmic Echoes,A,minor,1.002,,,minor,,0.98,2.8082,4.9286,,0.9612,1.0,1.677,1.0,4.4688,6,5,16.43,99.9,95,0.0,1.0,11.929,0.5455,0.7985,40.0,62.0,120.0,1000,64.0,7.81,-1,0.782,angry/tense
sonnet-4.6-thinking,free-form,codegen,Longing in D,D,minor,1.32,,,minor,,0.9444,2.8829,4.2321,,0.4722,0.9,1.739,0.9177,3.9062,2,1,1.04,53.8,33,0.0,1.0,8.392,1.3333,1.2671,24.0,34.0,120.0,95,48.0,0.99,-1,0.481,sad/depressed
sonnet-4.6-thinking,free-form,codegen,Reverie in E Minor,E,minor,1.385,,,minor,,0.9714,2.8027,4.7241,,0.5354,0.8186,1.435,0.9548,2.25,2,1,1.04,42.1,23,0.0,1.0,22.575,0.9388,1.0065,34.0,57.0,120.0,169,48.0,1.76,-1,0.558,angry/tense
sonnet-4.6-thinking,free-form,codegen,Reverie in E Minor,E,minor,1.008,,,minor,,0.8597,3.1043,4.8433,,0.6236,0.7851,1.87,0.9155,2.1458,2,1,1.04,85.6,63,0.0,1.0,16.866,0.5111,1.0328,36.0,48.0,120.0,274,48.0,2.85,-1,0.667,angry/tense
sonnet-4.6-thinking,free-form,codegen,Wandering Inward,D,minor,1.446,,,minor,,1.0,2.635,4.4326,,0.7019,0.8801,1.565,0.9565,3.6979,2,1,1.04,70.9,81,0.0,0.9999,13.022,0.902,1.2475,27.0,51.0,120.0,159,48.0,1.66,-1,0.547,angry/tense
sonnet-4.6-thinking,free-form,codegen,Evening Tide,E,minor,1.163,,,minor,,0.9919,2.8238,4.4386,,0.75,0.9067,2.471,0.9497,2.6296,2,1,1.04,40.3,32,0.0,1.0,16.943,0.9273,0.9091,27.0,48.0,120.0,90,27.0,1.67,-1,0.548,angry/tense
